Pacific Decadal Oscillation (PDO)
Date,Value
186707,-0.26
186708,-0.42
186709,-0.49
186710,-0.51
186711,-0.38
186712,-0.35
186801,-0.22
186802,-0.23
186803,-0.23
186804,-0.31
186805,-0.44
186806,-0.17
186807,-0.14
186808,-0.13
186809,0.00
186810,-0.11
186811,-0.41
186812,-0.23
186901,-0.12
186902,-0.05
186903,0.28
186904,0.84
186905,2.22
186906,3.01
186907,2.40
186908,0.43
186909,0.25
186910,0.43
186911,-0.06
186912,0.04
187001,-0.49
187002,-0.31
187003,-0.68
187004,-0.88
187005,-1.16
187006,-0.70
187007,0.24
187008,0.63
187009,0.02
187010,-0.56
187011,-1.78
187012,-1.21
187101,-0.98
187102,-0.41
187103,-0.13
187104,0.05
187105,0.33
187106,0.89
187107,-0.42
187108,-0.49
187109,-0.79
187110,-1.06
187111,-1.47
187112,-0.60
187201,-0.41
187202,-0.33
187203,-0.23
187204,-0.52
187205,-0.32
187206,-0.22
187207,-0.52
187208,-0.82
187209,-0.16
187210,-0.34
187211,-1.97
187212,-2.21
187301,-2.27
187302,-1.77
187303,-1.43
187304,-0.48
187305,-0.50
187306,-0.40
187307,-0.49
187308,-1.24
187309,-1.50
187310,-1.11
187311,-1.04
187312,-1.02
187401,-0.75
187402,-0.38
187403,-0.47
187404,-0.50
187405,0.21
187406,-0.05
187407,-0.20
187408,-0.34
187409,0.22
187410,0.72
187411,0.85
187412,-0.42
187501,-0.84
187502,-1.35
187503,-1.48
187504,-1.60
187505,-0.86
187506,-0.88
187507,-1.31
187508,-1.62
187509,-1.37
187510,-0.59
187511,0.00
187512,-0.27
187601,-0.77
187602,-0.89
187603,-0.89
187604,-0.09
187605,-1.87
187606,-0.75
187607,-1.81
187608,-2.71
187609,-1.67
187610,-0.67
187611,-0.58
187612,-1.15
187701,-0.73
187702,-0.14
187703,0.68
187704,-0.65
187705,-0.55
187706,-1.11
187707,-0.95
187708,-1.08
187709,-1.30
187710,-1.46
187711,-3.02
187712,0.20
187801,-0.59
187802,-0.34
187803,0.19
187804,1.36
187805,1.39
187806,2.84
187807,1.69
187808,0.48
187809,-0.83
187810,-0.31
187811,0.77
187812,1.16
187901,-0.67
187902,0.14
187903,0.34
187904,1.01
187905,-1.12
187906,-1.25
187907,-2.15
187908,-0.46
187909,-0.78
187910,-1.27
187911,-1.02
187912,-0.67
188001,-0.82
188002,-1.13
188003,-2.01
188004,-3.23
188005,-3.16
188006,-2.99
188007,-2.78
188008,-2.54
188009,-2.14
188010,-1.18
188011,-1.52
188012,0.68
188101,0.27
188102,-1.00
188103,-0.36
188104,0.56
188105,0.29
188106,0.08
188107,-1.31
188108,-2.01
188109,0.46
188110,0.58
188111,-0.05
188112,-0.64
188201,-2.71
188202,-1.98
188203,-2.61
188204,-2.92
188205,-2.51
188206,-1.10
188207,-2.50
188208,-0.84
188209,-0.78
188210,-1.68
188211,-1.88
188212,-0.72
188301,-1.48
188302,-1.57
188303,-1.51
188304,-0.49
188305,-0.51
188306,-0.87
188307,-1.75
188308,-1.94
188309,-2.14
188310,-1.21
188311,-0.14
188312,-1.40
188401,-1.97
188402,-1.67
188403,-1.09
188404,-0.43
188405,0.05
188406,0.69
188407,0.90
188408,1.12
188409,0.68
188410,-0.19
188411,1.30
188412,1.40
188501,3.69
188502,0.63
188503,1.59
188504,1.17
188505,0.74
188506,-0.52
188507,-0.51
188508,-0.42
188509,-0.64
188510,0.02
188511,-0.11
188512,-0.51
188601,-0.41
188602,-0.22
188603,-1.01
188604,-0.56
188605,-0.47
188606,-1.47
188607,-0.16
188608,-0.61
188609,-0.39
188610,-1.04
188611,-1.68
188612,-1.20
188701,-0.64
188702,-1.90
188703,-1.68
188704,-1.76
188705,-1.95
188706,-0.59
188707,-0.42
188708,-1.05
188709,-1.22
188710,-0.47
188711,-1.01
188712,-1.29
188801,-0.89
188802,-0.48
188803,-1.14
188804,-0.99
188805,0.98
188806,1.96
188807,1.94
188808,0.85
188809,1.07
188810,0.95
188811,0.45
188812,0.52
188901,0.33
188902,0.06
188903,-0.13
188904,0.87
188905,0.77
188906,0.69
188907,-0.19
188908,-1.09
188909,-0.31
188910,0.41
188911,1.38
188912,0.08
189001,-0.64
189002,-0.69
189003,-1.22
189004,-0.53
189005,-0.71
189006,-1.88
189007,-1.15
189008,-0.78
189009,-0.54
189010,-0.37
189011,-0.44
189012,-0.35
189101,-0.41
189102,-0.65
189103,-0.53
189104,-0.93
189105,-0.23
189106,-0.52
189107,-0.19
189108,-0.36
189109,-0.82
189110,0.23
189111,0.29
189112,-0.17
189201,-1.02
189202,-0.80
189203,-0.22
189204,-0.88
189205,-1.45
189206,-1.45
189207,-1.16
189208,-1.68
189209,-2.85
189210,-1.95
189211,-0.01
189212,-0.34
189301,-0.38
189302,-0.10
189303,-0.64
189304,-1.00
189305,-3.01
189306,-2.50
189307,-2.25
189308,-1.98
189309,-1.63
189310,-2.02
189311,-1.85
189312,-2.03
189401,-2.31
189402,-3.64
189403,-3.74
189404,-4.25
189405,-3.63
189406,-2.26
189407,-2.08
189408,-2.65
189409,-3.16
189410,-3.73
189411,-3.18
189412,-1.55
189501,-1.02
189502,-0.39
189503,0.25
189504,-0.12
189505,-0.16
189506,0.18
189507,0.92
189508,0.27
189509,-2.09
189510,-1.81
189511,-2.22
189512,-2.02
189601,-0.83
189602,-0.32
189603,-0.33
189604,-0.84
189605,-1.77
189606,-1.95
189607,-1.68
189608,-1.58
189609,1.67
189610,1.14
189611,1.18
189612,-0.15
189701,0.43
189702,0.10
189703,-0.19
189704,0.08
189705,-0.26
189706,0.65
189707,0.69
189708,0.34
189709,0.04
189710,0.77
189711,0.65
189712,1.02
189801,1.56
189802,0.90
189803,-0.54
189804,1.06
189805,1.44
189806,0.88
189807,-0.28
189808,-0.28
189809,-0.09
189810,0.15
189811,0.40
189812,0.10
189901,0.22
189902,-0.41
189903,-0.03
189904,-0.36
189905,-1.15
189906,-1.47
189907,-0.50
189908,-0.08
189909,-0.77
189910,-0.67
189911,-0.02
189912,0.56
190001,0.52
190002,0.03
190003,0.66
190004,2.43
190005,0.58
190006,0.50
190007,0.41
190008,0.52
190009,-0.20
190010,0.11
190011,0.14
190012,0.30
190101,0.77
190102,0.65
190103,0.19
190104,-0.55
190105,-0.98
190106,-1.22
190107,-1.34
190108,0.09
190109,0.31
190110,0.15
190111,-0.24
190112,0.78
190201,1.16
190202,1.06
190203,0.51
190204,0.69
190205,1.09
190206,2.18
190207,3.28
190208,2.15
190209,0.88
190210,0.51
190211,0.17
190212,0.45
190301,0.15
190302,-0.12
190303,-0.23
190304,-1.49
190305,-0.41
190306,0.01
190307,0.83
190308,0.95
190309,0.27
190310,0.36
190311,0.06
190312,0.27
190401,1.04
190402,0.89
190403,0.81
190404,0.15
190405,0.46
190406,-0.43
190407,-1.51
190408,0.61
190409,2.73
190410,1.60
190411,1.26
190412,0.71
190501,1.50
190502,-0.04
190503,1.12
190504,1.88
190505,1.57
190506,1.71
190507,1.54
190508,2.23
190509,1.48
190510,-0.11
190511,1.18
190512,0.09
190601,1.27
190602,1.16
190603,0.11
190604,-0.48
190605,0.87
190606,0.96
190607,0.79
190608,0.68
190609,0.54
190610,1.30
190611,0.96
190612,-0.23
190701,-0.56
190702,-0.44
190703,-2.29
190704,-1.19
190705,0.75
190706,1.00
190707,0.82
190708,0.34
190709,0.42
190710,1.62
190711,1.57
190712,1.88
190801,1.73
190802,1.48
190803,0.37
190804,-0.18
190805,-0.27
190806,-0.20
190807,-0.04
190808,-0.03
190809,0.26
190810,0.61
190811,1.52
190812,1.22
190901,0.44
190902,0.45
190903,0.71
190904,0.12
190905,-0.31
190906,-0.22
190907,-1.68
190908,-2.25
190909,-1.94
190910,-0.13
190911,-0.97
190912,-2.29
191001,-2.33
191002,-1.11
191003,-1.11
191004,-2.57
191005,-1.73
191006,-0.18
191007,-0.10
191008,-1.12
191009,0.50
191010,-0.74
191011,-0.62
191012,0.44
191101,-0.69
191102,-1.43
191103,-1.76
191104,-0.82
191105,-0.83
191106,-0.82
191107,0.49
191108,0.65
191109,-0.26
191110,-0.17
191111,-0.16
191112,-1.21
191201,-0.72
191202,-0.45
191203,-0.84
191204,-0.62
191205,-0.01
191206,0.60
191207,0.34
191208,0.35
191209,1.10
191210,0.83
191211,0.01
191212,-0.10
191301,-0.61
191302,-0.33
191303,-0.52
191304,-0.93
191305,0.01
191306,0.24
191307,1.03
191308,1.22
191309,0.75
191310,0.32
191311,0.26
191312,-0.11
191401,-0.37
191402,-0.41
191403,-0.21
191404,0.74
191405,0.27
191406,-0.63
191407,-0.87
191408,-1.08
191409,-1.21
191410,-0.63
191411,-0.24
191412,-0.16
191501,-0.72
191502,-0.79
191503,0.14
191504,1.28
191505,1.43
191506,1.40
191507,1.04
191508,0.43
191509,-0.16
191510,-1.47
191511,-1.52
191512,-1.09
191601,-1.83
191602,-1.77
191603,-1.46
191604,-0.70
191605,-0.49
191606,-1.48
191607,-1.45
191608,-2.23
191609,-2.16
191610,-1.90
191611,-2.57
191612,-2.86
191701,-2.08
191702,-2.08
191703,-2.16
191704,-1.86
191705,-1.19
191706,-0.87
191707,-0.76
191708,-0.69
191709,-1.30
191710,-1.69
191711,-1.07
191712,-1.06
191801,-0.13
191802,-0.43
191803,-0.96
191804,-0.98
191805,-1.17
191806,-0.41
191807,-0.05
191808,0.39
191809,0.68
191810,1.51
191811,1.30
191812,0.39
191901,0.47
191902,0.04
191903,-0.67
191904,-0.53
191905,-1.17
191906,-1.31
191907,-1.82
191908,-1.03
191909,-0.36
191910,-0.70
191911,-0.90
191912,-0.62
192001,-1.10
192002,-0.99
192003,-1.14
192004,-1.56
192005,-1.30
192006,-1.18
192007,-1.67
192008,-2.38
192009,-2.54
192010,-1.67
192011,-0.81
192012,-0.59
192101,-1.26
192102,-1.61
192103,-1.07
192104,-1.74
192105,-1.35
192106,-0.79
192107,-1.68
192108,-2.01
192109,-1.66
192110,-1.75
192111,-0.95
192112,-0.25
192201,-0.45
192202,-1.51
192203,-1.76
192204,-1.71
192205,-1.61
192206,-1.11
192207,-0.78
192208,-0.74
192209,-0.55
192210,-0.55
192211,-1.18
192212,0.27
192301,0.01
192302,-0.95
192303,-1.23
192304,-0.64
192305,-0.02
192306,-0.96
192307,0.49
192308,-0.02
192309,-0.26
192310,0.22
192311,-0.22
192312,-0.32
192401,-0.89
192402,-0.82
192403,-0.45
192404,-1.05
192405,-0.48
192406,-0.32
192407,-1.14
192408,-1.44
192409,-1.71
192410,-2.23
192411,-1.77
192412,-0.59
192501,-1.34
192502,-0.90
192503,-0.82
192504,-1.05
192505,-0.30
192506,-1.09
192507,-0.83
192508,-0.85
192509,0.08
192510,0.16
192511,0.51
192512,0.46
192601,0.88
192602,1.20
192603,1.09
192604,1.73
192605,2.18
192606,1.79
192607,2.00
192608,1.54
192609,1.39
192610,1.54
192611,2.26
192612,1.65
192701,0.68
192702,1.20
192703,0.73
192704,-0.05
192705,-0.06
192706,0.52
192707,-0.36
192708,-0.76
192709,-0.11
192710,-0.75
192711,-0.42
192712,-0.32
192801,0.31
192802,0.58
192803,0.78
192804,0.40
192805,0.60
192806,1.09
192807,-0.51
192808,-0.89
192809,-1.87
192810,-1.19
192811,0.01
192812,0.55
192901,0.50
192902,0.09
192903,-0.04
192904,0.21
192905,0.42
192906,0.79
192907,-0.05
192908,-0.31
192909,0.73
192910,0.96
192911,0.63
192912,1.44
193001,0.83
193002,0.51
193003,-0.01
193004,0.15
193005,-0.12
193006,0.17
193007,0.12
193008,-0.33
193009,0.27
193010,-0.13
193011,-0.23
193012,0.52
193101,0.72
193102,0.90
193103,0.89
193104,1.59
193105,1.95
193106,1.96
193107,2.01
193108,0.75
193109,0.62
193110,-0.17
193111,-0.35
193112,-1.15
193201,-1.41
193202,-1.99
193203,-1.16
193204,0.19
193205,-0.04
193206,-0.04
193207,-0.20
193208,-0.48
193209,-1.24
193210,-0.25
193211,-0.38
193212,-0.14
193301,-0.92
193302,-1.26
193303,-1.15
193304,-0.99
193305,-1.80
193306,-1.98
193307,-3.14
193308,-2.82
193309,-2.79
193310,-1.78
193311,-0.60
193312,-0.81
193401,-0.53
193402,-0.22
193403,0.69
193404,1.21
193405,0.61
193406,-0.24
193407,0.11
193408,1.15
193409,1.00
193410,1.79
193411,1.37
193412,1.36
193501,0.55
193502,0.02
193503,-0.37
193504,0.14
193505,0.71
193506,1.35
193507,0.51
193508,0.22
193509,0.23
193510,0.20
193511,-0.10
193512,1.09
193601,1.66
193602,1.15
193603,0.88
193604,1.00
193605,1.46
193606,2.39
193607,2.61
193608,1.76
193609,0.80
193610,1.97
193611,2.61
193612,1.35
193701,-0.21
193702,-0.86
193703,-0.52
193704,-0.76
193705,-0.45
193706,1.32
193707,-0.42
193708,-1.09
193709,-0.27
193710,0.31
193711,0.26
193712,0.54
193801,1.03
193802,0.05
193803,-0.72
193804,-0.26
193805,-0.61
193806,-0.52
193807,-0.60
193808,-0.63
193809,-0.34
193810,0.52
193811,-0.31
193812,0.90
193901,0.88
193902,-0.19
193903,-0.78
193904,0.01
193905,0.00
193906,0.04
193907,-1.03
193908,-1.18
193909,-1.55
193910,-1.61
193911,-1.07
193912,1.37
194001,1.74
194002,1.43
194003,1.80
194004,2.05
194005,1.79
194006,2.23
194007,1.79
194008,1.41
194009,1.29
194010,1.32
194011,1.42
194012,2.66
194101,2.77
194102,2.89
194103,2.57
194104,2.35
194105,2.24
194106,3.07
194107,2.74
194108,2.96
194109,1.97
194110,1.22
194111,1.70
194112,2.25
194201,2.48
194202,1.58
194203,0.66
194204,0.82
194205,0.62
194206,1.10
194207,0.57
194208,0.36
194209,0.11
194210,0.03
194211,-0.25
194212,-1.25
194301,-1.69
194302,-0.48
194303,0.16
194304,0.45
194305,0.50
194306,-0.10
194307,-0.55
194308,-1.73
194309,-1.34
194310,-1.44
194311,-0.17
194312,1.79
194401,0.86
194402,0.23
194403,-0.48
194404,-0.72
194405,-1.34
194406,-1.68
194407,-1.56
194408,-0.94
194409,-1.69
194410,-1.19
194411,-0.74
194412,-0.56
194501,-0.30
194502,-0.46
194503,-0.22
194504,-0.20
194505,-0.11
194506,0.38
194507,-0.27
194508,-0.87
194509,-0.59
194510,-0.49
194511,-1.46
194512,-2.16
194601,-1.36
194602,0.34
194603,0.01
194604,0.55
194605,0.68
194606,0.65
194607,0.30
194608,-0.27
194609,-0.35
194610,-1.24
194611,-1.57
194612,-1.04
194701,-0.09
194702,0.02
194703,-0.06
194704,-0.39
194705,0.06
194706,1.03
194707,0.70
194708,0.50
194709,0.55
194710,1.60
194711,0.13
194712,0.52
194801,0.34
194802,0.21
194803,-0.42
194804,-2.01
194805,0.64
194806,0.61
194807,-0.52
194808,-1.29
194809,-1.42
194810,-1.53
194811,-0.49
194812,-1.90
194901,-2.76
194902,-2.99
194903,-1.75
194904,-1.44
194905,-1.28
194906,-0.90
194907,-1.38
194908,-1.49
194909,-1.50
194910,-2.17
194911,-1.07
194912,-1.01
195001,-1.73
195002,-2.21
195003,-1.91
195004,-1.99
195005,-3.02
195006,-2.23
195007,-3.50
195008,-2.88
195009,-2.33
195010,-1.89
195011,-1.46
195012,-1.20
195101,-1.25
195102,-1.58
195103,-1.72
195104,-1.31
195105,-1.17
195106,-1.38
195107,-0.24
195108,-1.59
195109,-0.82
195110,-0.10
195111,-0.44
195112,-1.30
195201,-2.26
195202,-1.65
195203,-1.66
195204,-1.91
195205,-1.81
195206,-1.87
195207,-2.08
195208,-1.40
195209,-1.36
195210,-0.89
195211,-0.41
195212,-0.95
195301,-0.16
195302,-0.40
195303,-1.26
195304,-0.96
195305,-0.57
195306,-0.36
195307,0.17
195308,-0.81
195309,-0.81
195310,-1.19
195311,-0.42
195312,-0.02
195401,-0.99
195402,-0.93
195403,-1.00
195404,-1.23
195405,-0.63
195406,0.64
195407,0.07
195408,-0.18
195409,-1.00
195410,0.08
195411,0.86
195412,0.37
195501,-0.18
195502,-1.09
195503,-1.26
195504,-2.22
195505,-1.82
195506,-2.21
195507,-2.75
195508,-2.56
195509,-2.38
195510,-3.29
195511,-2.66
195512,-2.20
195601,-2.23
195602,-2.31
195603,-2.89
195604,-2.57
195605,-1.59
195606,-1.96
195607,-1.52
195608,-1.02
195609,-0.35
195610,-1.71
195611,-2.44
195612,-1.26
195701,-1.36
195702,-1.48
195703,-0.90
195704,-0.79
195705,0.00
195706,1.61
195707,0.64
195708,0.34
195709,1.89
195710,1.82
195711,1.67
195712,0.53
195801,0.88
195802,0.98
195803,0.68
195804,0.76
195805,1.55
195806,1.62
195807,0.52
195808,1.13
195809,0.82
195810,0.46
195811,0.47
195812,1.19
195901,1.06
195902,0.36
195903,0.07
195904,-0.05
195905,-0.06
195906,0.29
195907,-0.41
195908,-0.38
195909,-0.51
195910,0.88
195911,1.38
195912,1.04
196001,0.33
196002,0.57
196003,0.35
196004,0.15
196005,0.42
196006,1.07
196007,-0.59
196008,-0.32
196009,-0.97
196010,-0.34
196011,-0.27
196012,0.15
196101,0.90
196102,0.92
196103,0.62
196104,0.32
196105,-0.39
196106,-0.67
196107,-1.12
196108,-0.81
196109,-1.19
196110,-1.76
196111,-1.49
196112,-1.77
196201,-1.04
196202,-1.04
196203,-1.14
196204,-0.97
196205,-1.29
196206,-1.80
196207,-1.93
196208,-0.67
196209,-1.58
196210,-1.64
196211,-0.37
196212,-0.20
196301,0.08
196302,0.27
196303,-0.19
196304,-0.43
196305,-1.14
196306,-0.69
196307,-1.28
196308,-1.03
196309,0.85
196310,0.29
196311,-0.48
196312,0.43
196401,0.48
196402,0.24
196403,-0.69
196404,-1.25
196405,-2.31
196406,-0.75
196407,-1.07
196408,-1.53
196409,-1.36
196410,-0.66
196411,-0.65
196412,-0.62
196501,-0.99
196502,-0.65
196503,-0.22
196504,-0.11
196505,-0.67
196506,-0.80
196507,-0.72
196508,0.30
196509,0.78
196510,0.33
196511,0.43
196512,0.28
196601,-0.72
196602,-0.49
196603,-1.00
196604,-0.37
196605,-0.68
196606,0.04
196607,-0.10
196608,-0.43
196609,-0.50
196610,-0.70
196611,-0.79
196612,-0.24
196701,-0.27
196702,-0.29
196703,-0.82
196704,-1.13
196705,-1.60
196706,-1.25
196707,-1.22
196708,-1.63
196709,-0.69
196710,-0.17
196711,0.29
196712,-0.72
196801,-0.66
196802,-0.26
196803,-0.03
196804,-0.78
196805,-0.76
196806,0.14
196807,0.41
196808,-0.03
196809,0.26
196810,-0.22
196811,0.00
196812,-0.32
196901,-0.75
196902,-1.25
196903,-1.23
196904,-1.08
196905,-1.02
196906,0.81
196907,-0.49
196908,-1.06
196909,-1.19
196910,0.87
196911,0.58
196912,1.08
197001,1.03
197002,0.97
197003,1.18
197004,0.31
197005,-0.84
197006,-0.04
197007,-0.97
197008,-1.83
197009,-1.72
197010,-1.19
197011,-0.94
197012,-0.95
197101,-1.32
197102,-1.53
197103,-1.64
197104,-1.74
197105,-1.72
197106,-1.69
197107,-2.29
197108,-0.42
197109,-0.23
197110,-0.44
197111,-1.32
197112,-1.77
197201,-2.12
197202,-1.99
197203,-1.61
197204,-1.76
197205,-2.16
197206,-1.88
197207,-1.55
197208,-0.22
197209,-0.13
197210,-0.16
197211,-0.04
197212,-0.40
197301,-0.22
197302,-0.59
197303,-0.89
197304,-1.40
197305,-1.63
197306,-1.45
197307,-1.42
197308,-1.64
197309,-1.14
197310,-1.37
197311,-1.50
197312,-0.96
197401,-0.92
197402,-1.39
197403,-1.29
197404,-0.70
197405,-0.78
197406,-0.50
197407,-0.15
197408,-0.33
197409,0.60
197410,0.08
197411,0.57
197412,0.31
197501,-0.66
197502,-1.01
197503,-1.15
197504,-1.85
197505,-2.04
197506,-1.69
197507,-0.98
197508,-1.65
197509,-1.67
197510,-1.63
197511,-1.74
197512,-1.46
197601,-1.10
197602,-1.05
197603,-1.35
197604,-1.40
197605,-1.14
197606,-1.26
197607,0.26
197608,0.92
197609,0.53
197610,1.07
197611,1.31
197612,1.20
197701,1.16
197702,1.40
197703,0.57
197704,-0.23
197705,-0.41
197706,-0.02
197707,-0.09
197708,-0.07
197709,-0.66
197710,-0.88
197711,-0.45
197712,-0.13
197801,0.55
197802,0.75
197803,1.07
197804,0.95
197805,0.69
197806,0.24
197807,-1.64
197808,-0.97
197809,-0.81
197810,-0.02
197811,-0.07
197812,-0.57
197901,-0.42
197902,-1.26
197903,-0.65
197904,-0.19
197905,0.52
197906,0.14
197907,0.18
197908,0.08
197909,0.84
197910,1.06
197911,0.50
197912,0.04
198001,0.06
198002,0.60
198003,0.60
198004,0.72
198005,0.57
198006,-0.78
198007,-0.32
198008,-0.12
198009,-0.29
198010,0.92
198011,0.70
198012,0.36
198101,1.18
198102,1.25
198103,1.16
198104,1.01
198105,1.22
198106,1.77
198107,0.71
198108,-0.11
198109,0.34
198110,-0.15
198111,0.45
198112,0.60
198201,0.15
198202,-0.10
198203,-0.32
198204,-0.67
198205,-1.17
198206,-0.98
198207,0.09
198208,-0.11
198209,0.53
198210,0.10
198211,-0.61
198212,0.12
198301,0.39
198302,0.92
198303,1.65
198304,1.20
198305,0.95
198306,1.82
198307,2.41
198308,1.11
198309,0.34
198310,0.60
198311,1.15
198312,1.70
198401,1.43
198402,1.25
198403,1.55
198404,0.97
198405,0.89
198406,-0.12
198407,-0.39
198408,0.02
198409,0.14
198410,0.40
198411,0.50
198412,0.49
198501,0.90
198502,0.52
198503,-0.29
198504,-0.51
198505,-0.87
198506,0.04
198507,0.43
198508,0.08
198509,0.02
198510,0.10
198511,-0.70
198512,0.28
198601,1.03
198602,1.48
198603,1.60
198604,1.09
198605,0.73
198606,0.59
198607,1.04
198608,-0.17
198609,-0.05
198610,0.90
198611,1.62
198612,1.66
198701,1.44
198702,1.44
198703,1.34
198704,1.39
198705,0.84
198706,0.05
198707,1.35
198708,1.68
198709,1.42
198710,0.68
198711,0.88
198712,0.91
198801,0.28
198802,0.49
198803,0.52
198804,0.34
198805,0.26
198806,0.11
198807,-0.27
198808,-0.91
198809,-1.01
198810,-0.45
198811,-0.14
198812,-0.15
198901,-1.26
198902,-1.43
198903,-1.25
198904,-0.32
198905,-0.17
198906,0.03
198907,0.47
198908,-0.58
198909,-0.65
198910,-0.57
198911,-0.78
198912,-0.11
199001,-0.39
199002,-1.24
199003,-1.24
199004,-0.20
199005,-0.42
199006,-0.32
199007,-0.35
199008,-0.45
199009,-0.32
199010,-1.19
199011,-1.93
199012,-2.23
199101,-1.72
199102,-1.09
199103,-1.16
199104,-1.63
199105,-1.70
199106,-2.36
199107,-1.59
199108,-0.65
199109,0.22
199110,0.24
199111,0.43
199112,-0.19
199201,0.06
199202,0.11
199203,0.08
199204,0.48
199205,1.12
199206,1.14
199207,1.45
199208,0.84
199209,0.40
199210,1.16
199211,1.24
199212,0.31
199301,-0.28
199302,0.05
199303,0.23
199304,0.93
199305,1.66
199306,1.96
199307,1.37
199308,1.79
199309,1.06
199310,1.24
199311,1.02
199312,0.65
199401,0.86
199402,0.40
199403,0.27
199404,0.52
199405,0.46
199406,-0.08
199407,-1.02
199408,-0.98
199409,-1.54
199410,-1.10
199411,-2.04
199412,-2.16
199501,-0.87
199502,0.09
199503,0.36
199504,0.41
199505,0.69
199506,0.85
199507,0.80
199508,-0.35
199509,1.02
199510,0.46
199511,-0.00
199512,0.38
199601,0.94
199602,0.92
199603,0.83
199604,1.33
199605,1.93
199606,0.91
199607,0.48
199608,-0.72
199609,0.03
199610,0.30
199611,0.36
199612,0.01
199701,0.42
199702,0.28
199703,0.41
199704,0.69
199705,1.38
199706,2.33
199707,1.38
199708,2.08
199709,1.60
199710,1.72
199711,1.42
199712,0.97
199801,1.12
199802,1.51
199803,1.33
199804,0.05
199805,-0.80
199806,-0.70
199807,-1.23
199808,-0.83
199809,-1.54
199810,-2.23
199811,-1.04
199812,-1.05
199901,-0.64
199902,-0.94
199903,-1.09
199904,-1.76
199905,-2.20
199906,-2.34
199907,-1.94
199908,-1.84
199909,-2.23
199910,-2.49
199911,-2.15
199912,-1.77
200001,-2.13
200002,-1.22
200003,-0.65
200004,-0.64
200005,-0.86
200006,-0.66
200007,-1.45
200008,-1.74
200009,-1.55
200010,-1.67
200011,-1.06
200012,0.06
200101,0.64
200102,0.05
200103,-0.30
200104,-1.23
200105,-1.10
200106,-1.28
200107,-2.31
200108,-1.86
200109,-2.13
200110,-1.87
200111,-1.17
200112,-0.99
200201,-0.34
200202,-1.29
200203,-1.13
200204,-1.23
200205,-1.57
200206,-1.27
200207,-0.97
200208,-0.15
200209,-0.38
200210,-0.25
200211,1.04
200212,1.63
200301,1.58
200302,1.32
200303,1.08
200304,0.32
200305,0.06
200306,-0.51
200307,0.11
200308,0.40
200309,-0.46
200310,0.54
200311,-0.19
200312,-0.41
200401,-0.42
200402,-0.11
200403,-0.13
200404,-0.20
200405,0.23
200406,-0.49
200407,-0.24
200408,0.02
200409,-0.17
200410,-0.76
200411,-1.24
200412,-0.74
200501,-0.13
200502,0.17
200503,0.69
200504,0.21
200505,1.06
200506,0.56
200507,-0.20
200508,-0.61
200509,-1.11
200510,-2.05
200511,-1.84
200512,-0.10
200601,0.54
200602,0.38
200603,-0.72
200604,-0.55
200605,-0.45
